key;ru
init_nickname;Введите имя персонажа:
common_connect;Подождите, идёт соединение с игровым сервером...
common_cancel;Отмена
mission_gift;Награда:
mission_done;Уровень пройден!
mission_nobonus;Золото и игровые предметы выдаются только при ПЕРВОМ прохождении миссии.
game_fail;Никто не выжил...
dialog_play;Играть
dialog_back;Назад
dialog_ok;OK
postonwall;Рассказать
episode1;Начало
episode2;Мясорубка
episode3;Мертвецы
episode_name;Эпизод {0}
mm_missions;Миссии
mm_maps;Мои карты
mm_online;Сетевая игра
mm_shop;Инвентарь (С)
mm_bank;Банк
mm_options;Опции игры(O)
mm_invite;Пригласите своих друзей!
c_slot;Карта
c_new_slot;Новый слот
c_buy_slot_gold;Для покупки слота не хватает монет:
map_loading_data;Загружаются данные карты...
low_gold;--- Не хватает монет. ---
c_map_title;Название карты
c_map_id;ID карты:
c_play_alone;Не мешать!\n(На Вашу карту не будут заходить)
c_light_type;Тип освещения:\n
c_map_choseMap;Выберите карту из списка Ваших карт слева.
c_map_help;Вы можете строить свои карты в одиночку или с друзьями, а затем играть на своих картах по сети!
common_connect_game;Подождите, идёт подсоединение к игре...
password;Пароль
do_load;ЗАГРУЗИТЬ
regenerate;Перегенерировать
ys_regenerate;Текущая карта будет стёрта!\nТочно перегенегировать?
no;НЕТ
yes;Да
ok;OK
map_slot_empty;Карта ещё не создана.\nВыбирете тип новой карты:
create_game;СОЗДАТЬ
dialog_cancel;Отмена
online_server_type;ВЫБЕРИТЕ ТИП СЕРВЕРА:
players_on_server;На сервере с выбранными параметрами играет  {0} игроков
connect_game;ПРИСОЕДИНИТЬСЯ К СЕРВЕРУ!
onl_type;Тип: 
onl_map;Карта:
onl_light;Свет:
onl_break;Разрушения:
onl_input_password;Пароль для входа: 
onl_friends;ИГРЫ, ГДЕ СЕЙЧАС ИГРАЮТ МОИ ДРУЗЬЯ:
onl_empty_rooms;Игр с друзьями нет..
onl_unknown_map;Неизвестная карта
onl_mission_desc;Эпизод {0} , миссия {1} 
onl_players_online;Онлайн: {0}
daily_bonus;БОНУС
daily_desc;Заходи в игру каждый день и получишь уникальную деталь от секретного оружия
daily_tip;"Собери 4 запчасти и получи ""{0}"""
take_bonus;Забрать бонус
dont_cheat;Я не буду больше читерить...
special_bonus;СПЕЦИАЛЬНЫЙ БОНУС!
is_one_day;1 день
is_one_week;7 дней
is_one_mounth;30 дней
is_two_weeks;2 недели
is_unlimit;Навсегда
no_money;Не хватает денег:
is_reload;R - перезарядка
is_time_left;Осталось 
is_days_left;{0} дней 
is_hours_left;{0} часов {1} минут
is_max;Максимальный запас
is_min_level_to_buy;Для увел. нужен
is_ammo_info;Этот набор патронов будет выдаваться каждый бой.
is_initial_ammo;Начальный запас:
is_tabs[0];Кубы
is_tabs[1];Предметы
is_tabs[2];Механизмы
is_tabs[3];Респауны
is_tabs[4];Оружие
is_tabs[5];Перс
is_tabs[6];Банк
BonusTypeStr[0];здоровье
BonusTypeStr[1];броня
BonusTypeStr[2];скорость
BonusTypeStr[3];прыжок
BonusTypeStr[4];стойкость
